"nome_arquivo","latitude","longitude"
"5RS0235",-27.4514,-53.925
,-27.4158,-48.9511
"5SC0237",-27.4114,-49.8314
"5SC0238",-27.3986,-49.6058
"5SC0239",-27.3978,-48.9803
"5SC0240",-27.3925,-49.3656
"5RS0241",-27.3889,-52.4544
"5RS0242",-27.3611,-53.3975
"5SC0243",-27.3453,-50.4358
"5SC0244",-27.3422,-51.6083
"5SC0245",-27.3339,-50.7533
"5SC0246",-27.3319,-49.3283
,-27.3194,-48.5636
"5SC0248",-27.3144,-51.9933
"5RS0249",-27.3019,-54.1394
"5SC0250",-27.2903,-49.7689
,-27.2864,-48.9331
"5SC0252",-27.2572,-49.9408
"5SC0253",-27.2056,-49.6317
"5SC0254",-27.1967,-49.0872
"5RS0255",-27.1889,-53.2533
"5SC0256",-27.1728,-51.7439
"5SC0257",-27.1717,-51.5003
"5SC0258",-27.1611,-50.4689
"5SC0259",-27.1458,-51.0389
"5SC0260",-27.1411,-50.2644
"5SC0261",-27.1208,-50.4567
"5SC0262",-27.1131,-49.9944
"5SC0263",-27.1008,-48.9181
"5SC0264",-27.0972,-50.0339
"5SC0265",-27.0644,-53.1569
"5SC0266",-27.0539,-49.5167
"5SC0267",-27.0511,-51.9122
"5SC0268",-27.0403,-49.3814
"5SC0269",-27.0381,-49.395
"5SC0270",-27.0342,-49.5897
"5SC0271",-27.0014,-53.5256
"5SC0272",-26.9683,-49.0742
"5SC0273",-26.9675,-50.4217
"5SC0274",-26.9525,-51.9281
"5SC0275",-26.9492,-49.2939
,-26.945,-50.1433
"5SC0277",-26.935,-53.7064
"5SC0278",-26.9289,-53.0075
"5SC0279",-26.9261,-49.8025
"5SC0280",-26.9206,-51.9281
"5SC0281",-26.9181,-49.0653
"5SC0282",-26.9136,-49.2675
"5SC0283",-26.9067,-51.4097
"5SC0284",-26.9017,-50.6592
"5SC0285",-26.895,-49.6722
"5SC0286",-26.8733,-51.7964
"5SC0287",-26.8297,-49.2719
"5SC0288",-26.8192,-52.7353
"5SC0289",-26.7967,-49.0836
"5SC0290",-26.7811,-49.365
"5SC0291",-26.7758,-51.2628
"5SC0292",-26.7753,-53.0464
"5SC0293",-26.7553,-52.3272
"5SC0294",-26.755,-48.6994
"5SC0295",-26.7408,-49.2706
"5SC0296",-26.7367,-49.1703
"5SC0297",-26.7361,-52.9003
"5SC0298",-26.7242,-48.9317
"5SC0299",-26.7172,-49.4831
